Gene	adj.P.Val	logFC	Regulation
ILMN_2118129	2.48062798968414e-30	-4.10029309209557	Downregulated
ILMN_1773006	2.83435928593425e-30	-3.91001618184928	Downregulated
ILMN_1743445	3.88843464270019e-29	-3.99149465832677	Downregulated
ILMN_1732158	2.04784627326961e-28	-3.22595126976438	Downregulated
ILMN_1726210	6.62769793359823e-28	-3.29359122731783	Downregulated
ILMN_1762713	1.87377197241783e-26	-4.36041438352304	Downregulated
ILMN_2100437	1.87377197241783e-26	-4.14908781802009	Downregulated
ILMN_2257015	2.80641786515433e-26	-4.39893511097419	Downregulated
ILMN_2127842	8.03257186396397e-26	-3.9456947800086	Downregulated
ILMN_1682176	1.2476809550065e-25	-3.77570639279587	Downregulated
ILMN_1687583	6.73361177793056e-25	-3.68171678331295	Downregulated
ILMN_1690829	3.31795802432484e-24	-3.06390713268467	Downregulated
ILMN_1695157	3.31795802432484e-24	-4.12139362887179	Downregulated
ILMN_1781149	3.31795802432484e-24	-3.41074738535184	Downregulated
ILMN_1784493	3.31795802432484e-24	-4.94209737925473	Downregulated
ILMN_1805842	4.47663356940511e-24	-2.61955235319568	Downregulated
ILMN_1667796	4.47663356940511e-24	-3.80997558203644	Downregulated
ILMN_1766832	4.47663356940511e-24	-4.83017486887587	Downregulated
ILMN_1729777	6.15711370746539e-24	-2.1960542556097	Downregulated
ILMN_1656287	6.30418847570101e-24	-3.00713235688072	Downregulated
ILMN_1766914	1.46015448432209e-23	-3.32810971326235	Downregulated
ILMN_2149226	1.64353812478485e-23	-3.66671781128281	Downregulated
ILMN_1811598	1.93201663431564e-23	-2.86473834698979	Downregulated
ILMN_1796094	4.24307493658378e-23	-3.04605746500044	Downregulated
ILMN_1760493	4.24307493658378e-23	-1.74315438947389	Downregulated
ILMN_1800697	4.78894872472304e-23	-2.7917335086343	Downregulated
ILMN_1766712	2.04060827701703e-22	-2.85813961210571	Downregulated
ILMN_1796013	2.11840532465057e-22	2.04932098675108	Upregulated
ILMN_1728570	2.28862225816334e-22	-3.37482604821848	Downregulated
ILMN_1808114	2.6340287967774e-22	-2.92753336559989	Downregulated
