Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Cellular Response To Cytokine Stimulus (GO:0071345)	72/308	2.73132828018752e-19	1.1113774772083e-15	0	0	4.05149887538255	173.178599764387	RIPOR2;PID1;CSF3R;CXCL8;ZFAND6;LRRK2;HNRNPU;AQP4;MT1X;GHR;MT2A;ZFP36;HYAL1;HYAL2;GPER1;ANKRD1;LEPR;CASP1;SIRPA;CTSG;HLA-DPA1;JAK1;PTGIS;MME;DUSP1;IL11RA;LIFR;IRAK3;NPNT;HCK;SFRP1;AIM2;IL1B;IRF1;KIT;HCLS1;IRF8;CD47;GAS6;IL6ST;GAPDH;TNFRSF21;CCL14;CCL13;ASAH1;CCL3L1;STK39;CXCR4;LILRA2;AIF1;ZFP36L2;RHEX;DUOX1;CCL5;CCL4;CCL3;CCL2;CCL18;SH2B3;GBP4;EGR1;CCL23;CCL21;IL37;STAT1;UBE2G2;IL6;CXCL12;AXL;MNDA;IL7R;CRLF1
Regulation Of Angiogenesis (GO:0045765)	55/205	6.96847117325022e-18	1.41773546019776e-14	0	0	4.83259312320917	190.912247680902	SEMA5A;SPARC;BTG1;CXCL8;HSPB6;PTPRM;TNFAIP3;ETS1;AQP1;CDH5;HHEX;HYAL1;ADAMTS1;CTSH;EMILIN2;CD34;HOXA5;PPP1R16B;SEMA6A;PTGIS;PRKCB;ANXA3;PSG1;VASH1;DCN;CLDN5;SFRP1;CEACAM1;IL1B;RHOJ;APLNR;PPARG;PRKD1;GRN;RAMP2;ECSCR;SEMA3E;GATA2;THBS2;RRAS;GPNMB;ALOX5;HMOX1;SASH1;JUP;STAT1;TNFSF12;VEGFC;VEGFD;SULF1;KLF4;IL6;RGCC;LEP;TEK
Regulation Of Cell Population Proliferation (GO:0042127)	118/766	2.98595688147251e-15	4.04995285023721e-12	0	0	2.44542385596399	81.7868490545715	CD86;VIPR1;TFRC;RTKN2;ADARB1;ETS1;IFIT3;CCND2;FTH1;JUNB;SOX7;SOX4;KRT6A;PDGFRA;IL11RA;IGFBP3;P3H2;MATK;LIFR;CLDN5;SFRP1;CLDN3;AGTR1;NUPR1;IL6ST;PLPP1;BEX4;NOTCH1;CCL3L1;CDCA7;FUT3;EFNB2;SDCBP;ADGRG1;GRK5;IGFBP7;IGFBP6;WNT2;TFAP2A;JUN;JUP;WNT3A;TNFRSF9;TNFSF13;HMGA1;SMAD6;BMP6;IL6;CDK6;RGCC;ID2;SCGB3A1;FGFR4;IL7R;ACVRL1;BTG2;CDKN1A;BTG1;BMPR2;CXCL8;RERG;HHEX;SIX4;ADAMTS1;GPER1;TSPO;EMILIN2;CTSH;TIMP1;ADAMTS8;CD33;IL10;EDN1;TSC22D1;TESC;GKN2;GAB2;AXIN2;TENT5B;ECRG4;NME1;TGFBR2;HCK;SAPCD2;CEACAM6;IL1B;ALDH1A2;IRF1;KIT;HCLS1;BIRC5;CDH13;CD47;SGK1;ENG;HBEGF;CCL14;KANK2;UHRF1;PLA2G1B;AIF1;DLL1;GPNMB;SERTAD1;EPCAM;PDPN;RPL17;SH2B3;CCL23;STAT1;CNBP;VEGFC;VEGFD;TBX3;MEIS1;PRC1;FOLR2;CRLF1
Inflammatory Response (GO:0006954)	52/236	3.30097298795943e-13	2.97154566109109e-10	0	0	3.70987040432607	106.61940846348	SERPINA3;NRROS;CXCL8;HP;ADM;CXCL2;ADGRE5;HYAL1;PROK2;OLR1;SLC11A1;PLA2G4C;CYBB;FOS;ELF3;IL1B;KIT;AGTR1;ADAM8;S100A9;CD44;MGLL;S100A8;CCL14;PTGER4;CCL13;CCL3L1;C5AR1;FPR1;CXCR4;FPR2;AIF1;AGER;IL1RL1;CCL5;CCL4;CCL3;NLRP3;CCL2;CD14;CCL18;AOC3;CCL23;PLA2G2D;CCL21;LYZ;SELE;IL6;ACKR1;IL17D;CDO1;FOLR2
Positive Regulation Of Angiogenesis (GO:0045766)	35/119	3.65144465604705e-13	2.97154566109109e-10	0	0	5.43343926553672	155.605459795093	SEMA5A;GRN;RAMP2;BTG1;CXCL8;HSPB6;GATA2;ETS1;DLL1;AQP1;CDH5;RRAS;HYAL1;MDK;HMOX1;CTSH;EMILIN2;CD34;SASH1;JAK1;PTGIS;JUP;PRKCB;ANXA3;TNFSF12;PSG1;VEGFC;VEGFD;KLF4;PKM;IL1B;APLNR;PRKD1;ITGA5;TEK
Positive Regulation Of Cell Motility (GO:2000147)	48/221	4.65001260208735e-12	3.15348354631557e-09	0	0	3.6340294744128	94.8269145204586	SEMA5A;GRN;RIPOR1;CD151;NOTCH1;FAM107A;CXCR4;NEDD9;SEMA3E;AIF1;VSIR;PPM1F;MYLK;DUOX1;CDH5;SDCBP;GPNMB;PODXL;MDK;GPER1;CCL5;SPOCK2;PDPN;CCL3;CTSH;PDGFRA;EDN1;CAVIN1;CCL21;F10;FZD4;CAV1;SEMA4B;RHOD;COL1A1;FGR;DAB2;CLDN3;CXCL12;CEACAM6;TMSB15A;IL1B;KIT;MYADM;PECAM1;CDH13;FERMT2;HBEGF
Regulation Of Cell Migration (GO:0030334)	73/434	1.08819847455422e-11	6.11387270549414e-09	0	0	2.6690172838712	67.376438694087	SEMA5A;ACVRL1;CLIC4;ROBO4;RIPOR1;CITED2;FAM107A;ARID4B;ADARB1;LDB2;VSIR;MYLK;ACTG1;CDH5;DACH1;CDH1;MDK;GPER1;ENPP2;EMILIN2;CTSH;PDGFRA;EDN1;LIMCH1;RHOD;FGR;CLDN5;SFRP1;CEACAM1;CLDN3;TMSB15A;CEACAM6;IL1B;KIT;PECAM1;MYADM;CDH13;SGK1;ENG;HBEGF;BEX4;MACF1;GRN;CD151;NOTCH1;CXCR4;NEDD9;SEMA3E;AIF1;PPM1F;CORO1C;FUT3;SDCBP;GPNMB;PODXL;CCL5;PDPN;CCL3;MGAT3;SLIT2;SASH1;NTNG1;CD74;F10;FZD4;SEMA4B;CAV1;SULF1;COL1A1;DAB2;CXCL12;RECK;FERMT2
Cellular Response To Type II Interferon (GO:0071346)	24/66	1.20203936210256e-11	6.11387270549414e-09	0	0	7.41095204725198	186.344064494339	CCL14;CCL13;CCL23;CCL3L1;CCL21;IFNGR1;STAT1;AQP4;AIF1;HCK;IRF1;CCL5;CCL4;CASP1;CCL3;SIRPA;IRF8;CCL2;CD47;CCL18;GAPDH;GBP4;HLA-DPA1;JAK1
Positive Regulation Of Cell Population Proliferation (GO:0008284)	76/483	1.10426977814657e-10	4.99252636364266e-08	0	0	2.46377842305115	56.4862265990267	CD86;CDKN1A;VIPR1;PID1;RTKN2;HNRNPU;AQP1;GJA1;CCND2;MDK;HYAL1;GPER1;CTSH;TIMP1;SOX4;KRT6A;PDGFRA;EDN1;PRKCH;TSC22D1;IL11RA;MATK;LIFR;GAB2;NME1;TGFBR2;TGFBR3;CLDN5;HCK;SFRP1;SAPCD2;CEACAM6;IL1B;HCLS1;BIRC5;CDH13;CD47;GAS6;IL6ST;HBEGF;CCL14;GRN;NOTCH1;PLA2G1B;C5AR1;AIF1;DLL1;EFNB2;SDCBP;SERTAD1;GRK5;EPCAM;CCL5;HMOX1;RPL17;WNT2;CD74;STAT1;WNT3A;CNBP;TNFSF13;VEGFC;VEGFD;TBX3;BMP6;TBX2;IL6;MEIS1;CDK6;PRC1;ID2;FOLR2;FGFR4;IL7R;NES;CRLF1
Positive Regulation Of Vasculature Development (GO:1904018)	29/104	1.5763763854562e-10	6.17419733309867e-08	0	0	5.02340365682138	113.381848154061	SEMA5A;GRN;RAMP2;BTG1;CXCL8;HSPB6;GATA2;ETS1;AQP1;CDH5;RRAS;HYAL1;HMOX1;CTSH;EMILIN2;CD34;SASH1;PTGIS;JUP;PRKCB;ANXA3;TNFSF12;PSG1;VEGFC;VEGFD;IL1B;APLNR;PRKD1;TEK
