Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Phagosome	40/152	4.38263523787668e-13	1.33670374755239e-10	0	0	4.6666497924471	132.793981221816	COLEC12;ITGAM;NCF1;TFRC;SFTPA2;NCF2;C1R;NCF4;THBS2;FCAR;ACTG1;COMP;C3;TUBB6;TUBA1B;FCGR3B;TUBA1A;TUBB3;CTSL;OLR1;CD14;CD36;FCGR1A;HLA-DQA1;HLA-DPA1;MSR1;HLA-DRB4;SFTPD;CYBB;HLA-E;MARCO;TUBB2B;FCGR2A;CANX;HLA-DPB1;HLA-DRA;ITGA5;SFTPA1;HLA-DRB3;HLA-DQB1
Leishmaniasis	27/77	1.72297523111289e-12	2.62753722744716e-10	0	0	7.0150702247191	190.016986440264	ITGAM;NCF1;NCF2;NCF4;PTGS2;C3;FCGR3B;FCGR1A;HLA-DQA1;HLA-DPA1;JAK1;IL10;JUN;MARCKSL1;HLA-DRB4;IFNGR1;PRKCB;STAT1;CYBB;FOS;FCGR2A;IL1B;EEF1A2;HLA-DPB1;HLA-DRA;HLA-DRB3;HLA-DQB1
Complement and coagulation cascades	28/85	3.8732640273247e-12	3.93781842778011e-10	0	0	6.38354847061434	167.740015117394	C1QB;CFD;C1QA;CPB2;ITGAM;SERPINA1;CFH;C1R;PROS1;C5AR1;F13A1;C4BPA;C8B;C2;C3;THBD;C6;C7;CD59;VSIG4;A2M;CD55;VWF;F10;F12;SERPING1;CFB;C1QC
Osteoclast differentiation	33/127	6.99809360321002e-11	4.732231976646e-09	0	0	4.56902889895868	106.836680958167	SPI1;NCF1;NCF2;NCF4;FHL2;PIK3R1;LILRA2;LILRA5;SOCS3;FCGR3B;PPP3CC;PLCG2;SIRPA;ACP5;FCGR1A;JUNB;JAK1;JUN;IFNGR1;STAT1;FOS;GAB2;LILRB3;LILRB5;OSCAR;TGFBR2;TYROBP;CREB1;FCGR2A;IL1B;BTK;FOSB;PPARG
Staphylococcus aureus infection	28/95	7.75775733876393e-11	4.732231976646e-09	0	0	5.42784321540575	126.358793651037	C1QB;CFD;C1QA;ITGAM;CFH;C1R;C5AR1;FPR1;FPR2;FCAR;C2;C3;FCGR3B;FCGR1A;CAMP;HLA-DQA1;HLA-DPA1;IL10;HLA-DRB4;DEFA1;SELP;FCGR2A;HLA-DPB1;HLA-DRA;HLA-DRB3;CFB;HLA-DQB1;C1QC
Hematopoietic cell lineage	27/99	1.15512371668154e-09	5.87187889313119e-08	0	0	4.86578300561798	100.133232559888	CSF3R;ITGAM;TFRC;CD37;CD59;CD14;CD36;FCGR1A;CD34;HLA-DQA1;CD33;CD55;HLA-DPA1;HLA-DRB4;MME;IL11RA;IL6;IL1B;KIT;HLA-DPB1;HLA-DRA;CD9;ITGA5;HLA-DRB3;IL7R;CD44;HLA-DQB1
Pertussis	23/76	2.12163927157968e-09	9.24428539759719e-08	0	0	5.62084456424079	112.254318505626	IL10;C1QB;C1QA;JUN;CXCL8;ITGAM;SFTPA2;C1R;C4BPA;FOS;C2;C3;IL6;IL1B;IRF1;CASP1;IRF8;SERPING1;NLRP3;ITGA5;CD14;SFTPA1;C1QC
Rheumatoid arthritis	25/93	6.54040055882714e-09	2.49352771305285e-07	0	0	4.76471619503341	89.7923509035677	CD86;CXCL8;CCL3L1;CCL3L3;CXCL2;CTSL;CCL5;CCL3;ACP5;CCL2;HLA-DQA1;HLA-DPA1;JUN;HLA-DRB4;ANGPT1;TNFSF13;FOS;IL6;CXCL12;IL1B;HLA-DPB1;HLA-DRA;TEK;HLA-DRB3;HLA-DQB1
AGE-RAGE signaling pathway in diabetic complications	25/100	3.21651533701559e-08	1.09004130865528e-06	0	0	4.31837307152875	74.5022225561517	CXCL8;PIK3R1;AGER;FOXO1;THBD;PLCG2;CCL2;EGR1;JUN;EDN1;PRKCB;STAT1;PRKCE;CYBB;VEGFC;VEGFD;SELE;TGFBR2;COL1A1;IL6;COL3A1;COL1A2;IL1B;AGTR1;COL4A5
Malaria	17/50	3.83390071543178e-08	1.16933971820669e-06	0	0	6.65170533789781	113.589828380755	IL10;CXCL8;GYPC;KLRB1;HBB;HBA2;HBA1;THBS2;SELE;COMP;SELP;IL6;IL1B;PECAM1;CCL2;CD36;ACKR1
Viral protein interaction with cytokine and cytokine receptor	24/100	1.39066988505895e-07	3.85594831766344e-06	0	0	4.08800206542987	64.5426442502514	IL10;CCL14;CX3CR1;CCL13;CCL23;CXCL8;CCL3L1;TNFSF14;CCL21;IL37;CCL3L3;CXCR4;CXCL14;CXCL2;IL6;CXCL12;CCL5;CCL4;CCL3;CCL2;ACKR3;IL6ST;CCL18;IL18R1
Cell adhesion molecules	30/148	2.31434750071019e-07	5.88229989763841e-06	0	0	3.29757034315772	50.3834712901652	CD86;ITGAM;ICAM2;PTPRM;VSIR;CDH5;CDH3;CDH1;CD34;HLA-DQA1;JAM2;HLA-DPA1;JAM3;NTNG1;HLA-DRB4;CADM1;SELE;HLA-E;SELP;CLDN11;CLDN5;CLDN10;CLDN3;PECAM1;HLA-DPB1;HLA-DRA;CLDN18;ESAM;HLA-DRB3;HLA-DQB1
Cytokine-cytokine receptor interaction	47/295	2.74399093093926e-07	6.43782487643442e-06	0	0	2.47032384431578	37.3233380088584	ACVRL1;CCL14;CX3CR1;CCL13;CSF3R;BMPR2;CXCL8;CCL3L1;CCL3L3;CXCR4;CXCL14;CXCL2;GHR;IL1RL1;CCL5;CCL4;LEPR;CCL3;CCL2;CCL18;IL10;GDF10;IL33;CCL23;TNFSF14;CCL21;TNFSF15;IFNGR1;IL37;IL11RA;TNFSF12;TNFRSF9;TNFSF13;TNFRSF19;LIFR;BMP6;TGFBR2;IL6;CXCL12;IL1B;LEP;ACKR3;IL17D;IL6ST;IL7R;IL18R1;TNFRSF21
Fluid shear stress and atherosclerosis	28/139	6.61194493104951e-07	1.43176694898286e-05	0	0	3.26846593606959	46.5077136751418	BMPR2;NCF1;NCF2;PIK3R1;ACTG1;CDH5;THBD;CTSL;RAC2;HMOX1;CCL2;GSTM3;NQO1;JUN;EDN1;CAV2;DUSP1;GSTO1;CAV1;FOS;SELE;MMP9;KLF2;GSTA4;IL1B;GSTA2;PECAM1;GSTM5
