Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Immune System R-HSA-168256	241/1943	1.07805803191608e-17	1.54916939186341e-14	0	0	1.97149051674743	77.023739674279	GMFG;CLEC10A;CCNF;ICAM2;C4BPA;UBE2L6;IFI30;IFIT3;IFIT2;CDC20;MT2A;FTH1;AP1S2;TRIM22;PRKCB;PRKCE;SLC11A1;RNASE6;MCEMP1;RNASE1;HLA-E;RNF125;SLPI;CRISPLD2;BTK;SERPING1;STX1A;CFB;CFH;MAOA;FPR1;NEDD4L;FPR2;PIK3R1;C3;PLAC8;PLCG2;HMOX1;HLA-DQA1;EGR1;JUN;HLA-DRB4;JUP;TNFSF14;TNFSF15;TNFSF12;TNFSF13;PILRA;LYZ;COL1A2;TCN1;HLA-DRB3;FBXL5;SERPINA3;CDKN1A;SERPINA1;ARPC1B;MAGT1;C8B;GLIPR1;CTSL;GNLY;MMP28;RAC2;TIMP2;OLR1;FCER1A;CTSH;CTSG;CD36;TIMP1;CD33;CTSC;HLA-DPA1;JAK1;CD53;IL10;FCER1G;ANXA2;GSTO1;IFNGR1;ANO6;BTN3A3;FOS;GAB2;MMP12;RNF144B;HCK;CEACAM1;CEACAM6;IL1B;CANX;TLR8;CD47;HCST;CD44;C1QB;C1QA;ASAH1;GRN;PTGS2;LILRA2;LILRA5;ALOX5;CD59;CD55;IL33;CD74;AOC1;GSN;STAT1;IL37;UBE2G2;LILRB5;GSTA2;CD68;CRLF1;IL18R1;C1QC;CD86;FCN1;FCN3;CRCP;CSF3R;NCF1;NCF2;PROS1;NCF4;F13A1;RORA;ACTG1;SIRPA;MAP3K8;OSTF1;CD93;IL11RA;UBE2E2;CYBB;LMO7;LIFR;OSCAR;CLEC4A;TYROBP;RAB31;JAML;ELMO1;ADAM8;CD300C;IL6ST;S100A9;S100A8;CPB2;CCL3L1;KLRB1;C5AR1;RASGRP2;AGER;FOXO1;SOCS2;SOCS3;SDCBP;PDZD2;UBB;NDN;NLRP3;CD300LF;CD300LG;MCL1;BTNL9;MUC16;UBE2C;ZBTB16;TNFRSF9;LY86;FBXO32;RCAN1;PTPRB;IL6;LCN2;HLA-DRA;IL7R;MUC20;MUC21;ITGAM;EIF4E3;CXCL8;YWHAB;SNAP23;TNFAIP3;BRK1;SLC2A3;CXCL2;FCAR;OASL;GHR;ADGRE5;CASP1;LRRFIP1;EGFL7;IRAK3;MMP9;FGR;CREB1;PKM;AIM2;IRF1;PECAM1;BIRC5;IRF8;MS4A2;DOCK2;BIRC3;COLEC12;SFTPA2;CLEC12A;C1R;MGRN1;FGL2;ITLN1;RETN;TSPAN32;IL1RL1;CCL5;CCL4;CCL3;S1PR1;CCL2;STOM;FCGR1A;SH2B3;MUC4;WASF3;GBP4;ERAP2;FCGR2A;S100P;MNDA;POLR3H;CD247;VIM;FOLR3
Innate Immune System R-HSA-168249	146/1035	2.67322470631158e-15	1.92071195148487e-12	0	0	2.22244633213952	74.5752776651233	FCN1;FCN3;CRCP;NCF1;NCF2;GMFG;CLEC10A;PROS1;NCF4;ICAM2;C4BPA;UBE2L6;ACTG1;FTH1;SIRPA;MAP3K8;OSTF1;CD93;PRKCE;SLC11A1;RNASE6;CYBB;MCEMP1;RNASE1;OSCAR;HLA-E;CLEC4A;TYROBP;RNF125;RAB31;SLPI;CRISPLD2;BTK;ELMO1;SERPING1;ADAM8;S100A9;S100A8;CFB;CPB2;CFH;C5AR1;FPR1;FPR2;PIK3R1;RASGRP2;AGER;C3;PLAC8;SDCBP;PDZD2;UBB;PLCG2;HMOX1;NLRP3;JUN;JUP;MUC16;LY86;LYZ;RCAN1;PTPRB;TCN1;LCN2;MUC20;MUC21;SERPINA3;ITGAM;SERPINA1;ARPC1B;SNAP23;TNFAIP3;BRK1;SLC2A3;MAGT1;C8B;FCAR;GLIPR1;ADGRE5;CTSL;GNLY;MMP28;RAC2;TIMP2;CASP1;OLR1;CTSH;FCER1A;CTSG;CD36;LRRFIP1;CD33;CTSC;CD53;EGFL7;FCER1G;ANXA2;ANO6;IRAK3;FOS;GAB2;MMP9;MMP12;FGR;HCK;CEACAM1;CREB1;PKM;AIM2;CEACAM6;IL1B;PECAM1;TLR8;CD47;MS4A2;DOCK2;CD44;BIRC3;C1QB;C1QA;ASAH1;GRN;SFTPA2;CLEC12A;C1R;FGL2;ITLN1;RETN;TSPAN32;ALOX5;STOM;CD59;FCGR1A;MUC4;CD55;WASF3;AOC1;GSN;FCGR2A;S100P;MNDA;POLR3H;CD247;FOLR3;CD68;C1QC
Cell Surface Interactions At Vascular Wall R-HSA-202733	37/134	6.69162083953796e-13	3.20528638213868e-10	0	0	4.97764621823007	139.537112453009	ITGAM;GYPC;PROS1;SLC3A2;PIK3R1;JCHAIN;THBD;DEAF1;EPCAM;TSPAN7;SIRPA;OLR1;SLC16A3;JAM2;JAM3;CD74;FCER1G;ANGPT1;CAV1;ATP1B3;SELE;SLC7A5;CEACAM1;SLC7A7;JAML;CEACAM6;CEACAM5;SELENOP;PECAM1;ESAM;CD48;CD47;ITGA5;TEK;GAS6;S100A9;CD44
Neutrophil Degranulation R-HSA-6798695	79/468	1.25816518663665e-12	4.51995843299216e-10	0	0	2.68806163670022	73.6565625047479	FCN1;SERPINA3;SERPINA1;ITGAM;GMFG;SNAP23;SLC2A3;MAGT1;FCAR;GLIPR1;ADGRE5;FTH1;MMP28;TIMP2;OLR1;CTSH;SIRPA;CTSG;CD36;OSTF1;CD33;CTSC;CD53;EGFL7;FCER1G;ANXA2;CD93;SLC11A1;CYBB;MCEMP1;ANO6;RNASE1;MMP9;OSCAR;MMP12;FGR;CEACAM1;RAB31;PKM;TYROBP;SLPI;CRISPLD2;CEACAM6;PECAM1;ADAM8;CD47;DOCK2;S100A9;S100A8;CD44;ASAH1;GRN;SFTPA2;CLEC12A;FGL2;C5AR1;FPR1;FPR2;RETN;C3;PLAC8;SDCBP;ALOX5;STOM;CD59;CD55;AOC1;GSN;JUP;LYZ;RCAN1;PTPRB;FCGR2A;TCN1;LCN2;MNDA;S100P;FOLR3;CD68
Extracellular Matrix Organization R-HSA-1474244	55/291	4.37985725269094e-11	1.25877097442337e-08	0	0	3.0572064251372	72.9187141357021	DDR1;SPARC;ITGAM;ITGB4;LAMC3;ICAM2;COMP;CAPN8;EFEMP2;EFEMP1;CTSL;ADAMTS1;MMP28;TIMP2;COL10A1;CTSG;TIMP1;TPSAB1;ADAMTS8;P3H2;MMP9;DCN;MMP12;MMP11;CEACAM1;CEACAM6;PECAM1;COL4A5;ADAM8;COL6A6;CD47;ITGA5;CD44;COL17A1;CD151;COL13A1;PCOLCE2;COL11A1;LAMA4;LTBP4;NTN4;FBLN1;FBLN5;JAM2;JAM3;CRTAP;LUM;COL1A1;MFAP5;MFAP4;COL3A1;COL1A2;CAPN12;COL5A2;AGRN
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	29/107	3.32358929355965e-10	7.95999635807536e-08	0	0	4.82941144650005	105.400966071504	CDKN1A;CXCL8;ITGAM;MAOA;F13A1;RORA;PIK3R1;PTGS2;FOXO1;SOCS3;ALOX5;S1PR1;HMOX1;NDN;CCL2;CD36;TIMP1;MCL1;JAK1;IL10;STAT1;FOS;MMP9;IL6;COL1A2;IL1B;LCN2;BIRC5;VIM
Hemostasis R-HSA-109582	83/576	1.28007147834414e-09	2.62780387768646e-07	0	0	2.22211546445559	45.5008138086533	SERPINA3;SERPINA1;ITGAM;SPARC;PROS1;PLEK;F13A1;ATP2A2;ARRB1;JCHAIN;THBD;DOCK11;RAC2;OLR1;TIMP3;PHACTR2;SIRPA;TIMP1;CD36;SLC16A3;H3-3B;SRGN;PRKCH;FCER1G;ANXA2;VWF;PRKCB;PRKCE;ATP1B3;RNASE1;FGR;SLC7A5;CEACAM1;SLC7A7;JAML;MMRN1;CEACAM6;CEACAM5;IRF1;SELENOP;PECAM1;SERPING1;CD48;PDE5A;ITGA5;CD47;GAS6;DOCK2;S100A9;MGLL;CD44;SFTPA2;GYPC;SLC3A2;PIK3R1;GATA2;RASGRP2;CLEC3B;GNG10;EPCAM;DEAF1;TSPAN7;PDPN;PLCG2;SH2B3;JAM2;JAM3;CD74;ANGPT1;HBG2;HBG1;F12;CAV1;RARRES2;VEGFC;VEGFD;GNG11;SELE;GNAQ;MAFF;CD9;ESAM;TEK
Cytokine Signaling In Immune System R-HSA-1280215	93/702	9.93304094402038e-09	1.78422247956966e-06	0	0	2.0173828507585	37.1751190650038	CD86;CDKN1A;CSF3R;EIF4E3;ITGAM;CXCL8;F13A1;RORA;UBE2L6;IFI30;CXCL2;IFIT3;IFIT2;OASL;GHR;MT2A;CASP1;MAP3K8;CTSG;TIMP1;CD36;TRIM22;HLA-DPA1;JAK1;IL10;ANXA2;GSTO1;IFNGR1;IL11RA;LIFR;IRAK3;FOS;GAB2;MMP9;HLA-E;HCK;CREB1;IL1B;IRF1;CANX;BIRC5;IRF8;IL6ST;S100A9;STX1A;CD44;BIRC3;CCL3L1;MAOA;FPR1;PIK3R1;PTGS2;AGER;FOXO1;SOCS2;SOCS3;IL1RL1;PDZD2;UBB;ALOX5;CCL5;CCL4;CCL3;S1PR1;HMOX1;NDN;CCL2;FCGR1A;SH2B3;HLA-DQA1;GBP4;MCL1;EGR1;IL33;JUN;HLA-DRB4;TNFSF14;STAT1;TNFSF15;IL37;TNFRSF9;TNFSF12;TNFSF13;IL6;COL1A2;GSTA2;LCN2;HLA-DRA;VIM;HLA-DRB3;IL7R;CRLF1;IL18R1
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782	15/41	7.90110484468743e-08	1.26154307353509e-05	0	0	7.44174523248339	121.699906335635	COLEC12;MSR1;CD163;SPARC;SCARA5;HBA1;JCHAIN;COL1A1;MARCO;COL3A1;COL1A2;FTH1;SCGB3A2;HYOU1;CD36
Signal Transduction R-HSA-162582	244/2465	1.30706058767354e-07	1.87824606448687e-05	0	0	1.4861648637488	23.5561810259204	VIPR1;SPARC;TFRC;HHIP;MYLK;CDC20;BAIAP2L2;GJA1;EDNRA;BAIAP2L1;EDNRB;SOX17;PDK4;PROK2;SOX7;TNS3;SOX4;WLS;PRKCH;PRKCB;STARD8;PRKCE;RNASE1;SFRP1;AGTR1;BTK;ANOS1;MYL9;CRABP2;EPAS1;FPR1;NEDD4L;FPR2;PIK3R1;C3;SNX3;GNG10;APH1B;FLRT3;PLCG2;SPTBN1;EGR1;JUN;EGR2;STARD13;JUP;FZD4;GNG11;COL1A2;ID2;GPR183;ID1;NMU;ID3;GRAP;FERMT2;ACVRL1;CDKN1A;ARPC1B;ADM;PTH1R;TUBA1B;PPP3CC;HEY1;RAC2;FFAR4;JAK1;H3-3B;EDN1;FGFBP2;GPBAR1;GFRA1;FOS;GAB2;IL17RD;GFRA2;RHOD;KIT;RHOJ;CDC42EP2;GAS1;PPARG;TFF1;SGK1;MGLL;ARHGEF6;HBEGF;PTGER4;CCL13;RAMP2;RAMP3;ADH1A;ADCY4;CXCR4;FGD5;GPNMB;WIF1;KISS1R;CD55;P2RY13;MBD4;IL33;CCL23;CAVIN1;H2BC5;CCL21;STAT1;VEGFC;VEGFD;CENPF;ZDHHC9;AXL;FOSB;CD86;SH3GL3;NCF1;NCF2;WWC1;NCF4;FAM13A;RORA;ACTG1;ARHGAP44;RGS5;CDH5;DOCK11;FNTA;POFUT1;PDE8B;PDGFRA;MATK;CYBB;MFNG;ELMO1;APLNR;COL4A5;IL6ST;S100A9;S100A8;ABCG1;CALCRL;NOTCH1;CCL3L1;NOTCH4;C5AR1;LTBP4;ADRB2;RASGRP2;ARHGAP15;FOXO1;SOCS3;PDZD2;GRK5;UBB;NLRP3;MYH11;WNT2;MYH10;KL;CAV2;WNT3A;CAV1;SMAD6;ARHGAP25;ARHGAP24;IL6;ARHGAP31;CXCL12;ARHGAP30;GNAQ;FGFR4;MUC20;BMPR2;CXCL8;LAMC3;YWHAB;LRRK2;SNAP23;TNFAIP3;ATP2A2;BRK1;ARRB1;RND3;CXCL2;HEBP1;LYL1;CYP26B1;ADGRE5;GPER1;PDE4B;IFT57;ARHGEF10;VWF;PDE4D;ARAP3;AXIN2;SSTR2;ETV4;MMP9;TGFBR2;CREB1;GFOD1;ELF3;ALDH1A2;ALDH1A1;BIRC5;COL6A6;PDE5A;ITGA5;DOCK2;BIRC3;PPP1R15A;CX3CR1;RGS17;SFTPA2;LAMA4;THBS2;DLL1;AURKB;IL1RL1;CCL5;CCL4;CCL3;S1PR1;CCL2;STOM;HNRNPA1;SH2B3;S1PR4;WASF3;PPP1R14A;ANGPT1;GZMB;PRC1;ABHD17A;SCD;LEP;APOC1;ACKR3;SPRY1;TEK;ACKR1;VIM;PDE7B
